Full Title,Car Name,URL,Price (in Lakhs),Location,City,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine,Transmission,Power,Drive Type,Mileage,Year of Manufacture
2020 BMW X3 xDrive 30i Luxury Line,BMW X3,https://www.cardekho.com/used-car-details/used-Bmw-x3-xdrive-30i-luxury-line-cars-Gurgaon_a0fc87c7-db1f-4bff-a73c-e27ee8f367f3.htm?adId=939&adType=1,44.0,"Sector 21e, Gurgaon",Gurgaon,Dec 2020,Expired,Petrol,5,39500,HR98,First Owner,N/A,Automatic,N/A,N/A,N/A,2020
2024 BMW X5 xDrive40i M Sport,BMW X5,https://www.cardekho.com/used-car-details/used-Bmw-x5-xdrive40i-m-sport-cars-New-Delhi_ae550a42-8429-496a-bf0b-34b85d715ac5.htm?adId=1592&adType=41,110.0,"Patparganj, New Delhi",New Delhi,Jul 2024,Expired,Petrol,5,3500,Jalandhar,First Owner,2998,Automatic,375.48,4WD,N/A,2024
2020 Kia Seltos HTK Diesel,Kia Seltos,https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-diesel-cars-New-Delhi_a3c02abf-aa08-48a6-9704-2f096ed5d733.htm,8.99,"Chittranjan Park, New Delhi",New Delhi,Jun 2020,Expired,Diesel,5,34500,Gurgaon,First Owner,1493,Manual,113.43,FWD,20.8,2020
2024 Kia Seltos HTX IVT,Kia Seltos,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-cars-New-Delhi_a5a57a84-b286-47e8-bd9f-bdf958173a6e.htm,17.4,"Karol Bagh, New Delhi",New Delhi,May 2024,Comprehensive,Petrol,5,5700,New Delhi,First Owner,1497,Automatic,113.42,2WD,17.7,2024
2022 Hyundai Venue S BSVI,Hyundai Venue,https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-bsvi-cars-New-Delhi_6bb4524c-264e-4346-86f3-4fd212d30371.htm,8.0,"Preet Vihar, New Delhi",New Delhi,Apr 2022,Comprehensive,Petrol,5,12000,New Delhi,First Owner,1197,Manual,81.8,N/A,16.0,2022
2023 Mercedes-Benz G-Class 400d Adventure Edition,Mercedes-Benz G-Class,https://www.cardekho.com/used-car-details/used-Mercedes-benz-g-class-400d-adventure-edition-cars-New-Delhi_945d3b68-5939-42f9-aa19-dee80f71fecf.htm?adId=1603&adType=41,285.0,"Tilak Nagar East, New Delhi",New Delhi,Nov 2023,Comprehensive,Diesel,5,6100,Lucknow,First Owner,2925,Automatic,325.86,AWD,10.0,2023
2021 Renault Kiger RXT,Renault Kiger,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxt-cars-New-Delhi_accd4c6b-c759-4625-8f60-cbe7f7133b06.htm,5.5,"Preet Vihar, New Delhi",New Delhi,Sept 2021,Comprehensive,Petrol,5,59000,New Delhi,First Owner,999,Manual,71.01,N/A,19.17,2021
2025 Mercedes-Benz S-Class S450 4Matic,Mercedes-Benz S-Class,https://www.cardekho.com/used-car-details/used-Mercedes-benz-s-class-s450-4matic-cars-New-Delhi_2f4ad7a2-6501-4436-b9f7-db54506f5347.htm,155.0,"Naraina, New Delhi",New Delhi,N/A,Expired,Petrol,5,5800,N/A,N/A,2999,Automatic,362.07,AWD,N/A,2025
N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022 Honda Amaze 2nd Gen VX CVT,Honda Amaze,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-vx-cvt-cars-New-Delhi_cb2d1a0d-21a8-473f-8944-4d174deaa927.htm,8.27,"Shakti Nagar, New Delhi",New Delhi,Jul 2022,Comprehensive,Petrol,5,18000,New Delhi,First Owner,1199,Automatic,88.5,N/A,18.3,2022
2021 Mercedes-Benz AMG G 63 4MATIC,Mercedes-Benz AMG,https://www.cardekho.com/used-car-details/used-Mercedes-benz-amg-g-63-4matic-cars-New-Delhi_d40e321b-b2ef-4400-b7f4-dc0954cab92d.htm?adId=1676&adType=41,290.0,"Patparganj, New Delhi",New Delhi,Sept 2021,Expired,Petrol,5,35000,Jalandhar,First Owner,3982,Automatic,576.63,4WD,N/A,2021
